angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.0,0.29,,"[1364, 132, 984, 1260]","[1270, 1740, 21, 28]",,0.0,0.02,,0.0,0.11,,1.0,0.16,,0.0,0.04,,0.0,0.37,,0.0,0.01,
0.0,,,"[1364, 135, 979, 1257]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,0.33,,"[1340, 100, 1000, 1312]","[2945, 1915, 46, 59]",,0.0,0.0,,0.0,0.1,,1.0,0.03,,0.0,0.06,,0.0,0.48,,0.0,0.0,
0.0,0.29,,"[1356, 132, 987, 1265]","[1257, 1741, 26, 33]",,0.0,0.03,,0.0,0.1,,1.0,0.1,,0.0,0.06,,0.0,0.41,,0.0,0.01,
0.0,0.3,,"[1354, 127, 984, 1274]","[1253, 1742, 26, 33]",,0.0,0.03,,0.0,0.1,,1.0,0.12,,0.0,0.06,,0.0,0.38,,0.0,0.01,
0.0,0.39,,"[1348, 125, 987, 1279]","[1250, 1747, 21, 26]",,0.0,0.02,,0.0,0.08,,1.0,0.19,,0.0,0.05,,0.0,0.26,,0.0,0.01,
0.0,,,"[1350, 181, 963, 1210]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.41,,"[1341, 172, 981, 1239]","[2933, 1923, 47, 59]",,0.0,0.01,,0.0,0.12,,1.0,0.08,,0.0,0.04,,0.0,0.34,,0.0,0.01,
0.0,,,"[1324, 123, 1009, 1317]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1319, 123, 1012, 1320]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1317, 123, 1013, 1321]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
